"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"
"G_cy_80582_arsu"	0	0.094970712	0.09327233	0.097171675	0.092665765	0.095577276	0.170860629	0.095178677	0.093255	0.093844234	0.093185678	0.096911719	0.093358982	0.095490624	0.161606183	0.161103601	0.156580361	0.160999619	0.163859138	0.167550518	0.167169249	0.172766975	0.172316384	0.193892759	0.172056428	0.173009601	0.159578524	0.095785241	0.096981041	0.173061592	0.176891616	0.093601608	0.094537451	0.168382378	0.167862466	0.168971613	0.168573013	0.203459152	0.170999272	0.173980105	0.176059755	0.171345881	0.188901598	0.201691449	0.204706943	0.201795432	0.162351392	0.164552355	0.169370212	0.201362171	0.169300891
"G_cy_80701_arsu"	0.094970712	0	0.092752418	0.095958546	0.093566947	0.094364147	0.173702818	0.092995043	0.092111192	0.095750581	0.09242314	0.094624103	0.09283907	0.094693425	0.165106929	0.161762157	0.159491872	0.163356556	0.166042771	0.169352882	0.169976777	0.175262556	0.174465356	0.194551315	0.174759974	0.172281723	0.161970122	0.094606773	0.094346816	0.174690652	0.179248553	0.093913556	0.093220339	0.170635333	0.169734151	0.170462029	0.169924786	0.203597796	0.173564175	0.174881287	0.177376867	0.173980105	0.19184777	0.201552806	0.205504142	0.203736439	0.164812312	0.166077432	0.171831132	0.201466154	0.169474195
"G_cy_80801_arsu"	0.09327233	0.092752418	0	0.099216665	0.094814738	0.098939378	0.174222731	0.095282659	0.094745416	0.098038196	0.094988042	0.095629268	0.096062528	0.094797407	0.166320058	0.16557485	0.161328897	0.164639007	0.168746317	0.17254168	0.171397872	0.176614329	0.176891616	0.195625802	0.176908946	0.175158573	0.164188416	0.096721084	0.098679422	0.177983432	0.181848116	0.097552944	0.094225503	0.173026931	0.172992271	0.174101418	0.172628332	0.206474646	0.174915947	0.178416693	0.177758137	0.174742643	0.193060899	0.204949568	0.208866244	0.206578628	0.16803577	0.167429205	0.174811965	0.205694777	0.173009601
"G_cy_80826_arsu"	0.097171675	0.095958546	0.099216665	0	0.09653045	0.097604936	0.173442862	0.095369311	0.095005372	0.098020866	0.094416138	0.094537451	0.09694638	0.097830231	0.167134588	0.163581852	0.162524696	0.164101764	0.167862466	0.171692489	0.168503691	0.174482687	0.174794635	0.195192541	0.175123913	0.174448026	0.163651173	0.09490139	0.098419466	0.175158573	0.179023257	0.094936051	0.095351981	0.170236734	0.170202073	0.171588506	0.17212575	0.203303178	0.173165575	0.17462133	0.178156736	0.172714984	0.190998579	0.203337839	0.206145368	0.205486812	0.165696163	0.168971613	0.170115421	0.203597796	0.169144917
"G_cy_81108_arsu"	0.092665765	0.093566947	0.094814738	0.09653045	0	0.096322484	0.172611001	0.095889224	0.094173512	0.094589442	0.090326159	0.096305154	0.094728086	0.09450279	0.162628678	0.158452047	0.158885307	0.16063568	0.163148591	0.167463866	0.16722124	0.170392707	0.172264393	0.194291359	0.171588506	0.171120585	0.158278743	0.094728086	0.096478458	0.173494853	0.176770303	0.094554781	0.093930886	0.167983779	0.168884961	0.168573013	0.168659665	0.2033725	0.170046099	0.172922949	0.175973103	0.171848463	0.189300198	0.199837094	0.204828256	0.203199196	0.161294236	0.164223077	0.169976777	0.202280684	0.167273231
"G_cy_81118_arsu"	0.095577276	0.094364147	0.098939378	0.097604936	0.096322484	0	0.172091089	0.097102353	0.096114519	0.09777824	0.091331323	0.096998371	0.094277495	0.095681259	0.166129424	0.163131261	0.160167758	0.164032443	0.166718658	0.169127587	0.169543517	0.172645662	0.1742054	0.19307823	0.173876122	0.172888288	0.16351253	0.091435306	0.097864892	0.175089252	0.178122075	0.093341652	0.094589442	0.169716821	0.169474195	0.170860629	0.171016603	0.202505979	0.172645662	0.175279886	0.176458355	0.172195071	0.189716128	0.201916745	0.205764098	0.203615126	0.165869467	0.169144917	0.170392707	0.201622127	0.168832969
"G_cy_82508_pu"	0.170860629	0.173702818	0.174222731	0.173442862	0.172611001	0.172091089	0	0.173148244	0.170011438	0.172021767	0.170531351	0.172281723	0.16886763	0.174292052	0.152958303	0.14996014	0.14914561	0.154188763	0.152126443	0.165037607	0.165280233	0.109528266	0.107413954	0.143027971	0.106218155	0.09944196	0.15120793	0.17008076	0.173980105	0.168711656	0.173477522	0.170219403	0.172264393	0.163963121	0.163755156	0.167949118	0.165817476	0.156199092	0.167758483	0.093410974	0.024401234	0.049079755	0.141086964	0.152282417	0.157100274	0.1565457	0.152975633	0.155765831	0.164985616	0.152091782	0.16599078
"G_cy_85356_suta"	0.095178677	0.092995043	0.095282659	0.095369311	0.095889224	0.097102353	0.173148244	0	0.093497626	0.095542616	0.094676094	0.096114519	0.095854563	0.095975876	0.165245572	0.162108766	0.159041281	0.163668504	0.165418876	0.169110256	0.168278396	0.173945444	0.173910783	0.192575647	0.174759974	0.174569339	0.161103601	0.094676094	0.095455963	0.173720148	0.178901944	0.09367093	0.092145853	0.168902291	0.170046099	0.169942116	0.168365048	0.202627292	0.171276559	0.175297217	0.177723476	0.173529514	0.190773283	0.201691449	0.205989394	0.203701778	0.165713493	0.165072268	0.170618003	0.202159371	0.169578178
"G_cy_85499_arsu"	0.093255	0.092111192	0.094745416	0.095005372	0.094173512	0.096114519	0.170011438	0.093497626	0	0.09202454	0.092197844	0.096339815	0.095629268	0.094814738	0.16065301	0.157204256	0.156701674	0.160081106	0.162108766	0.16843437	0.167394544	0.172021767	0.171848463	0.193459499	0.170167412	0.17049669	0.160912967	0.094277495	0.097033032	0.173009601	0.176285051	0.094936051	0.092405809	0.168919622	0.167325223	0.16843437	0.168555683	0.2033725	0.170115421	0.170981942	0.173754809	0.169075595	0.189126893	0.202748605	0.205556133	0.203511143	0.160497036	0.162004783	0.170358047	0.202627292	0.167758483
"G_cy_85678_arsu"	0.093844234	0.095750581	0.098038196	0.098020866	0.094589442	0.09777824	0.172021767	0.095542616	0.09202454	0	0.090672767	0.09654778	0.095247998	0.095646598	0.163495199	0.160601019	0.158469377	0.161294236	0.163217913	0.169474195	0.167498527	0.173928113	0.173234897	0.194637967	0.173286888	0.172264393	0.161432879	0.09410419	0.096686423	0.172732314	0.177532841	0.095698589	0.095213337	0.168919622	0.167325223	0.168988943	0.168694326	0.2033725	0.170219403	0.172888288	0.176181068	0.171675159	0.19065197	0.203580465	0.206769263	0.204343004	0.162646009	0.165401546	0.1692489	0.202869918	0.168486361
"G_cy_86297_suta"	0.093185678	0.09242314	0.094988042	0.094416138	0.090326159	0.091331323	0.170531351	0.094676094	0.092197844	0.090672767	0	0.095438633	0.091712592	0.093601608	0.162732661	0.159595855	0.157498874	0.159561194	0.162732661	0.168919622	0.168538352	0.171467194	0.172576341	0.193320855	0.171796472	0.170947281	0.158902638	0.092821739	0.095403972	0.173286888	0.177532841	0.092405809	0.092648435	0.167879796	0.168191744	0.168711656	0.169734151	0.203268518	0.170704655	0.172299054	0.174378704	0.170184742	0.190132058	0.201466154	0.206526637	0.201951405	0.161536862	0.162178087	0.169942116	0.201518145	0.168278396
"G_cy_86321_suta"	0.096911719	0.094624103	0.095629268	0.094537451	0.096305154	0.096998371	0.172281723	0.096114519	0.096339815	0.09654778	0.095438633	0	0.096409137	0.098090188	0.163027278	0.16186614	0.158937299	0.160999619	0.165280233	0.169907456	0.169872795	0.17339087	0.175609164	0.195625802	0.174933278	0.174118748	0.161415549	0.095473294	0.096842397	0.174032096	0.179803126	0.09529999	0.094398808	0.169491525	0.169422204	0.170046099	0.171484524	0.205296177	0.171207237	0.173425531	0.176926276	0.172073758	0.190773283	0.204013726	0.207722436	0.205469481	0.163495199	0.165314894	0.170271394	0.202298014	0.169647499
"G_cy_86458_suta"	0.093358982	0.09283907	0.096062528	0.09694638	0.094728086	0.094277495	0.16886763	0.095854563	0.095629268	0.095247998	0.091712592	0.096409137	0	0.093497626	0.161970122	0.159318568	0.157637517	0.159665176	0.163252574	0.167741153	0.165522859	0.170635333	0.17049669	0.192350352	0.171137915	0.16966483	0.158902638	0.093410974	0.094676094	0.171865793	0.17749818	0.09368826	0.08997955	0.168330387	0.168365048	0.168780978	0.168798309	0.200842259	0.170669994	0.172576341	0.173130914	0.169595508	0.188364355	0.20091158	0.203129874	0.20132751	0.161190253	0.16474299	0.168313057	0.199299851	0.167099927
"G_cy_86478_suta"	0.095490624	0.094693425	0.094797407	0.097830231	0.09450279	0.095681259	0.174292052	0.095975876	0.094814738	0.095646598	0.093601608	0.098090188	0.093497626	0	0.168191744	0.164292399	0.161744827	0.165505528	0.168988943	0.173408201	0.170843298	0.175366538	0.176129077	0.1980174	0.176111747	0.174257391	0.163772486	0.093913556	0.095282659	0.17625039	0.180704308	0.093878895	0.091903227	0.172818966	0.172472358	0.170843298	0.171449863	0.206266681	0.174673322	0.175158573	0.178382032	0.172905619	0.192991577	0.205608125	0.208103705	0.207445149	0.164604346	0.16926623	0.17214308	0.205244186	0.171137915
"G_cy_J296_ma"	0.161606183	0.165106929	0.166320058	0.167134588	0.162628678	0.166129424	0.152958303	0.165245572	0.16065301	0.163495199	0.162732661	0.163027278	0.161970122	0.168191744	0	0.079113376	0.086097536	0.091556618	0.081245018	0.142820006	0.144761013	0.152992964	0.154344737	0.185730131	0.150722679	0.15240373	0.079148036	0.161658175	0.167186579	0.148885654	0.152334408	0.163633843	0.16474299	0.144691692	0.143686527	0.145315587	0.14585283	0.197168209	0.145367578	0.152681016	0.15573117	0.152473051	0.180738969	0.195747114	0.199941077	0.199559807	0.082960729	0.082250182	0.144293092	0.195487158	0.144431735
"G_cy_J477_ma"	0.161103601	0.161762157	0.16557485	0.163581852	0.158452047	0.163131261	0.14996014	0.162108766	0.157204256	0.160601019	0.159595855	0.16186614	0.159318568	0.164292399	0.079113376	0	0.087743926	0.090984715	0.0809504	0.14339191	0.142005476	0.150029462	0.149994801	0.184672975	0.148695019	0.151138609	0.078437489	0.157689508	0.164465703	0.148695019	0.151381235	0.162507365	0.159977124	0.143149284	0.143253267	0.144916987	0.145558213	0.194828602	0.145107622	0.150792	0.15283699	0.149440227	0.180167065	0.194585976	0.1980174	0.197566809	0.083290007	0.085941562	0.144033136	0.194984576	0.141260268
"G_cy_J691_roar"	0.156580361	0.159491872	0.161328897	0.162524696	0.158885307	0.160167758	0.14914561	0.159041281	0.156701674	0.158469377	0.157498874	0.158937299	0.157637517	0.161744827	0.086097536	0.087743926	0	0.087397317	0.086236179	0.140220443	0.141121625	0.150462722	0.150462722	0.182229385	0.149821497	0.151086617	0.082128869	0.157498874	0.161606183	0.145800839	0.150878652	0.158330734	0.159162594	0.142265433	0.140428408	0.141780181	0.142248102	0.194880593	0.143738519	0.150982635	0.15243839	0.149284254	0.179560501	0.192350352	0.197168209	0.195816436	0.08420852	0.083844581	0.141069634	0.192748952	0.142525389
"G_cy_J694_roar"	0.160999619	0.163356556	0.164639007	0.164101764	0.16063568	0.164032443	0.154188763	0.163668504	0.160081106	0.161294236	0.159561194	0.160999619	0.159665176	0.165505528	0.091556618	0.090984715	0.087397317	0	0.094017538	0.147655194	0.146892655	0.155679179	0.156372396	0.188901598	0.153478216	0.156025788	0.087899899	0.161155593	0.165540189	0.153478216	0.157030952	0.164205747	0.162056774	0.14914561	0.147204603	0.148279089	0.148504385	0.200027729	0.148677689	0.156649683	0.157862812	0.154777997	0.185504835	0.198710617	0.201760771	0.201275519	0.08831583	0.092180514	0.148261759	0.197757443	0.147291255
"G_cy_J773_ma"	0.163859138	0.166042771	0.168746317	0.167862466	0.163148591	0.166718658	0.152126443	0.165418876	0.162108766	0.163217913	0.162732661	0.165280233	0.163252574	0.168988943	0.081245018	0.0809504	0.086236179	0.094017538	0	0.146320751	0.145558213	0.15406745	0.153131607	0.185210218	0.152178434	0.155453884	0.083480642	0.162975287	0.16968216	0.151415895	0.155211258	0.164777651	0.164119095	0.146147447	0.145558213	0.144864996	0.147828498	0.198104052	0.147724516	0.155107275	0.155765831	0.153443555	0.182437351	0.197896087	0.20254064	0.201500815	0.083931233	0.088073204	0.14668469	0.197012235	0.146442064
"G_cy_T10897_pa"	0.167550518	0.169352882	0.17254168	0.171692489	0.167463866	0.169127587	0.165037607	0.169110256	0.16843437	0.169474195	0.168919622	0.169907456	0.167741153	0.173408201	0.142820006	0.14339191	0.140220443	0.147655194	0.146320751	0	0.068559149	0.164275068	0.165245572	0.193234203	0.163356556	0.168087761	0.141277599	0.168399709	0.172818966	0.072787772	0.100187169	0.16968216	0.169231569	0.068732453	0.068004575	0.069876261	0.068715123	0.206162698	0.069928252	0.166735988	0.167290562	0.16514159	0.190877266	0.204568299	0.206751932	0.208173027	0.142525389	0.14708329	0.06819521	0.202436657	0.067744619
"G_cy_T11062_pa"	0.167169249	0.169976777	0.171397872	0.168503691	0.16722124	0.169543517	0.165280233	0.168278396	0.167394544	0.167498527	0.168538352	0.169872795	0.165522859	0.170843298	0.144761013	0.142005476	0.141121625	0.146892655	0.145558213	0.068559149	0	0.163859138	0.163339226	0.190738623	0.162628678	0.167845135	0.14134692	0.166770649	0.171675159	0.070742782	0.101400298	0.168954282	0.168746317	0.069148383	0.070812104	0.071193373	0.069304357	0.203667117	0.068888427	0.164968285	0.167810475	0.163893799	0.189872101	0.203181865	0.206474646	0.207375828	0.142352085	0.1450383	0.068368514	0.203407161	0.066462168
"G_cy_T12275_pu"	0.172766975	0.175262556	0.176614329	0.174482687	0.170392707	0.172645662	0.109528266	0.173945444	0.172021767	0.173928113	0.171467194	0.17339087	0.170635333	0.175366538	0.152992964	0.150029462	0.150462722	0.155679179	0.15406745	0.164275068	0.163859138	0	0.104953035	0.149821497	0.10271741	0.109458944	0.149578871	0.17049669	0.175817129	0.170652664	0.173997435	0.171952445	0.173234897	0.163235243	0.16514159	0.166978614	0.164396381	0.159283907	0.166649336	0.107864545	0.109666909	0.112127829	0.146320751	0.158313403	0.16351253	0.16351253	0.152559703	0.157914804	0.165054937	0.159162594	0.165401546
"G_cy_T12279_pu"	0.172316384	0.174465356	0.176891616	0.174794635	0.172264393	0.1742054	0.107413954	0.173910783	0.171848463	0.173234897	0.172576341	0.175609164	0.17049669	0.176129077	0.154344737	0.149994801	0.150462722	0.156372396	0.153131607	0.165245572	0.163339226	0.104953035	0	0.148781671	0.101816228	0.106235486	0.151485217	0.170323386	0.176441025	0.169751482	0.173754809	0.172749645	0.173304218	0.164933624	0.163616512	0.166839971	0.165921459	0.16226474	0.167897127	0.104571765	0.107795224	0.107864545	0.145488891	0.158660012	0.163651173	0.162022114	0.15446605	0.15611244	0.164535025	0.160479706	0.165401546
"G_cy_T12385_In"	0.193892759	0.194551315	0.195625802	0.195192541	0.194291359	0.19307823	0.143027971	0.192575647	0.193459499	0.194637967	0.193320855	0.195625802	0.192350352	0.1980174	0.185730131	0.184672975	0.182229385	0.188901598	0.185210218	0.193234203	0.190738623	0.149821497	0.148781671	0	0.148487054	0.147568542	0.183737132	0.193355516	0.198814599	0.198537312	0.200634293	0.19391009	0.194291359	0.191397179	0.192298361	0.196007071	0.194152716	0.119857197	0.194984576	0.145246265	0.147291255	0.141156286	0.11628713	0.119475928	0.122214135	0.12079304	0.1857128	0.188364355	0.194083394	0.119701224	0.195053898
"G_cy_T12392_pu"	0.172056428	0.174759974	0.176908946	0.175123913	0.171588506	0.173876122	0.106218155	0.174759974	0.170167412	0.173286888	0.171796472	0.174933278	0.171137915	0.176111747	0.150722679	0.148695019	0.149821497	0.153478216	0.152178434	0.163356556	0.162628678	0.10271741	0.101816228	0.148487054	0	0.10434647	0.15035874	0.171172576	0.174863956	0.168555683	0.172628332	0.171935115	0.173598835	0.163495199	0.163772486	0.165956119	0.165834806	0.159647846	0.164552355	0.103895879	0.105940869	0.105940869	0.143981145	0.157880143	0.160341063	0.161242245	0.152577034	0.156164431	0.164413712	0.159526533	0.162957956
