"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V60"	"V61"	"V62"	"V63"
"H_oc_A311_jigu"	0.0	0.04703573764642921	0.1623357317000654	0.20473330558363562	0.1596004043527383	0.16055182256050426	0.1536540405542011	0.1691145864303978	0.1570434679193673	0.16590354997918771	0.16293036807991912	0.1681037045846465	0.16316822263186062	0.16287090444193375	0.16750906820479278	0.16138431349229945	0.1629898317179045	0.16310875899387525	0.16400071356365584	0.1610869953023726	0.15139442231075698	0.1600166498186359	0.1583516679550455	0.1591841588868407	0.1636439317357436	0.1574597133852649	0.1547243860379378	0.15424867693405483	0.16590354997918771	0.15734078610929417	0.16727121365285127	0.16293036807991912	0.165308913599334	0.15805434976511862	0.1537135041921865	0.15252423143247903	0.1647142772194803	0.15525955877980616	0.15930308616281144	0.15650829517749895	0.15204852232859606	0.15930308616281144	0.15775703157519178	0.15900576797288457	0.15478384967592318	0.15442706784801094	0.1596004043527383	0.16055182256050426	0.16441695902955342	0.15632990426354285	0.15977879526669442	0.1608491407504311	0.1557947315216745	0.15793542248914788	0.15335672236427425	0.1591841588868407	0.17434738657311055	0.16019504073259203	0.15288101326039127	0.1540702860200987
"H_oc_T15847_jigu"	0.04703573764642921	0.0	0.16227626806208004	0.20170066004638162	0.1591841588868407	0.15930308616281144	0.15097817684485937	0.16905512279241244	0.1593625498007968	0.1664387227210561	0.16358446809775823	0.1663792590830707	0.16465481358149492	0.16269251352797764	0.16697389546292443	0.162751977165963	0.1647142772194803	0.1649521317714218	0.1648926681334364	0.16126538621632872	0.14931319498126897	0.15924362252482607	0.15662722245346972	0.15793542248914788	0.16180055895819706	0.153475649640245	0.15204852232859606	0.1521674496045668	0.16477374085746566	0.15632990426354285	0.16566569542724624	0.16132484985431408	0.16429803175358268	0.15549741333174763	0.15234584051852293	0.15246476779449367	0.16477374085746566	0.15329725872628888	0.15841113159303086	0.15585419515965987	0.15163227686269845	0.15722185883332343	0.15615151334958674	0.15811381340310401	0.15401082238211333	0.15377296783017186	0.1589463043348992	0.16061128619848963	0.1615032407682702	0.15591365879764524	0.15900576797288457	0.1596004043527383	0.15359457691621572	0.15525955877980616	0.1522269132425522	0.15710293155735267	0.17500148659094963	0.15906523161086994	0.1503240768270203	0.1525836950704644
"H_oc_T355_jigu"	0.1623357317000654	0.16227626806208004	0.0	0.2077064874829042	0.12915502170422785	0.13664744009038474	0.12891716715228638	0.05292263780698103	0.13575548552060415	0.05518225605042516	0.05518225605042516	0.056787774276030205	0.05399298329071773	0.0578581197597669	0.05381459237676161	0.05851221977760599	0.054528156032586074	0.048581792234048876	0.055539037878337395	0.13087946720580365	0.13105785811975976	0.13266337634536482	0.13575548552060415	0.13635012190045787	0.1352203127787358	0.1371231491942677	0.1330796218112624	0.13355533091514538	0.13260391270737945	0.13058214901587678	0.13111732175774513	0.1301064399119938	0.1392638401617411	0.13058214901587678	0.13194981268954034	0.1337337218291015	0.13510138550276507	0.13849081286793127	0.13896652197181422	0.12641969435690076	0.13682583100434084	0.1367069037283701	0.13789617648807753	0.13771778557412143	0.13076053992983291	0.12850092168638877	0.1346256763988821	0.1381934946780044	0.13349586727716	0.139085449247785	0.13753939466016532	0.14015579473152168	0.13284176725932093	0.1295118035321401	0.13420943093298449	0.13896652197181422	0.13807456740203367	0.13379318546708688	0.13468514003686746	0.13504192186477967
"H_pe_A24346_pu"	0.20473330558363562	0.20170066004638162	0.2077064874829042	0.0	0.1903431051911756	0.19188915977879525	0.18618065053219957	0.2125825057977047	0.1890943687934828	0.20925254207052388	0.2077064874829042	0.20621989653326991	0.20699292382707973	0.20574418742938694	0.20824166022477256	0.20128441458048404	0.20657667836118213	0.20633882380924065	0.20960932389843612	0.19052149610513172	0.1833263959089017	0.19040256882916096	0.18826187786168758	0.18754831420586313	0.18939168698340964	0.1895106142593804	0.18879705060355592	0.18320746863293097	0.20235476006422073	0.18748885056787773	0.20039246001070346	0.19593268716180057	0.19676517809359576	0.1901052506392341	0.18386156865077005	0.18600225961824343	0.20318725099601595	0.18849973241362908	0.1964678599036689	0.1903431051911756	0.18742938692989236	0.19040256882916096	0.1915918415888684	0.19081881429505856	0.1888565142415413	0.1883808051376583	0.1876077778438485	0.18844026877564368	0.19301896890051734	0.18992685972527798	0.19087827793304393	0.19682464173158115	0.1895106142593804	0.1882024142237022	0.18493191413450674	0.19337575072842955	0.20842005113872866	0.19914372361301064	0.1835047868228578	0.18469405958256527
"H_ro_A409_ma"	0.1596004043527383	0.1591841588868407	0.12915502170422785	0.1903431051911756	0.0	0.09573645715644884	0.09062258428970685	0.13605280371053102	0.09698519355414165	0.13248498543140869	0.1368852946423262	0.1383718855919605	0.1368852946423262	0.13385264910507225	0.13278230362133556	0.13153356722364273	0.13409050365701375	0.1309983944817744	0.13700422191829695	0.09377415710293156	0.08979009335791163	0.09424986620681454	0.09068204792769222	0.09210917523934115	0.09419040256882916	0.09264434798120949	0.09680680264018553	0.09597431170839033	0.12820360349646193	0.09966105726348339	0.12850092168638877	0.12879823987631564	0.0983528572278052	0.08860082059820419	0.09210917523934115	0.09353630255099007	0.13343640363917464	0.09972052090146875	0.099601593625498	0.09204971160135578	0.0947255753106975	0.09127668430754593	0.09769875720996611	0.09680680264018553	0.09222810251531188	0.0919902479633704	0.09169292977344354	0.09847178450377594	0.09496342986263899	0.10031515728132247	0.09817446631384909	0.0979366117619076	0.09894749360765892	0.09109829339358982	0.09900695724564429	0.10281263007670809	0.13807456740203367	0.13046322173990604	0.09424986620681454	0.09639055717428792
"H_ro_A410_ma"	0.16055182256050426	0.15930308616281144	0.13664744009038474	0.19188915977879525	0.09573645715644884	0.0	0.09109829339358982	0.14687518582386871	0.09448772075875603	0.13938276743771183	0.14069096747339002	0.13872866741987275	0.1395016947136826	0.13991794017958017	0.14312897663079027	0.13700422191829695	0.13742046738419456	0.1394422310756972	0.14152345840518524	0.10138550276505917	0.09288220253315098	0.10328833918059106	0.09365522982696081	0.10138550276505917	0.09371469346494618	0.09549860260450735	0.09502289350062437	0.09526074805256586	0.13724207647023845	0.10132603912707379	0.13789617648807753	0.13117678539573052	0.10489385740619611	0.09502289350062437	0.09246595706725337	0.09639055717428792	0.1375988582981507	0.09924481179758578	0.10316941190462033	0.09763929357198073	0.1009097936611762	0.09722304810608313	0.10114764821311768	0.09668787536421478	0.09484450258666825	0.0968662662781709	0.09704465719212702	0.10418029375037165	0.1036451210085033	0.10269370280073735	0.10102872093714693	0.10162335731700066	0.10013676636736636	0.09752036629600999	0.09698519355414165	0.09853124814176131	0.14616162216804424	0.13403104001902835	0.0938930843789023	0.09222810251531188
"H_ro_A521_ma"	0.1536540405542011	0.15097817684485937	0.12891716715228638	0.18618065053219957	0.09062258428970685	0.09109829339358982	0.0	0.13545816733067728	0.09068204792769222	0.13129571267170126	0.12891716715228638	0.13028483082594994	0.1320092763275257	0.13004697627400844	0.13064161265386218	0.1246357852173396	0.12647915799488613	0.12790628530653506	0.13260391270737945	0.09187132068739966	0.08788725694237974	0.09424986620681454	0.09032526609977999	0.09639055717428792	0.08788725694237974	0.09181185704941429	0.08931438425402866	0.09490396622465362	0.13058214901587678	0.09799607539989297	0.13242552179342332	0.12749003984063745	0.10120711185110305	0.08895760242611643	0.08758993875245287	0.09329844799904859	0.13177142177558424	0.09769875720996611	0.09722304810608313	0.09335791163703396	0.09317952072307784	0.09424986620681454	0.09829339358981982	0.09133614794553131	0.08866028423618957	0.08877921151216031	0.09133614794553131	0.09609323898436106	0.09698519355414165	0.09769875720996611	0.09401201165487305	0.09924481179758578	0.09097936611761907	0.092406493429268	0.09294166617113635	0.09710412083011238	0.13973954926562407	0.12832253077243266	0.09163346613545817	0.09115775703157519
"H_ro_A547_ma"	0.1691145864303978	0.16905512279241244	0.05292263780698103	0.2125825057977047	0.13605280371053102	0.14687518582386871	0.13545816733067728	0.0	0.14170184931914134	0.054944401498483675	0.05351727418683475	0.05928524707141583	0.05660938336207409	0.06118808348694773	0.05440922875661533	0.06077183802105013	0.0608313016590355	0.05131711958137599	0.06267467443658203	0.13742046738419456	0.136528512814414	0.13742046738419456	0.14110721293928763	0.1409882856633169	0.1430695129928049	0.14390200392460012	0.13843134922994588	0.14259380388892193	0.1349824582267943	0.13593387643456026	0.1331390854492478	0.13426889457096985	0.14675625854789795	0.1373610037462092	0.1409882856633169	0.13920437652375572	0.13902598560979962	0.14384254028661472	0.14277219480287803	0.13414996729499912	0.14217755842302432	0.14241541297496582	0.1445561039424392	0.145804840340132	0.14051257655943392	0.13492299458880894	0.14104774930130226	0.14211809478503895	0.1407504311113754	0.14419932211452696	0.14229648569899506	0.14610215853005887	0.13902598560979962	0.1343878218469406	0.1407504311113754	0.14550752215020515	0.14271273116489266	0.13664744009038474	0.14051257655943392	0.14027472200749241
"H_ro_A551_ma"	0.1570434679193673	0.1593625498007968	0.13575548552060415	0.1890943687934828	0.09698519355414165	0.09448772075875603	0.09068204792769222	0.14170184931914134	0.0	0.13825295831598977	0.13504192186477967	0.13724207647023845	0.13718261283225308	0.136528512814414	0.14045311292144855	0.1318308854135696	0.13450674912291133	0.13284176725932093	0.13635012190045787	0.09954212998751263	0.09436879348278528	0.09930427543557115	0.0972825117440685	0.10037462091930785	0.09662841172622941	0.09591484807040494	0.09532021169055123	0.09484450258666825	0.13278230362133556	0.10388297556044479	0.13296069453529166	0.12754950347862282	0.10471546649223999	0.09555806624249272	0.09193078432538503	0.09561752988047809	0.13361479455313077	0.10203960278289825	0.10073140274722008	0.09829339358981982	0.10013676636736636	0.0981150026758637	0.10085033002319081	0.09270381161919486	0.09312005708509247	0.09169292977344354	0.09805553903787834	0.1044776119402985	0.10453707557828389	0.10180174823095677	0.10037462091930785	0.10120711185110305	0.10162335731700066	0.09591484807040494	0.09490396622465362	0.09882856633168817	0.14241541297496582	0.1286198489623595	0.09347683891300469	0.09359576618897544
"H_ro_J213_ma"	0.16590354997918771	0.1664387227210561	0.05518225605042516	0.20925254207052388	0.13248498543140869	0.13938276743771183	0.13129571267170126	0.054944401498483675	0.13825295831598977	0.0	0.054944401498483675	0.057382410655883925	0.05767972884581079	0.05773919248379616	0.05262531961705417	0.05875007432954748	0.05845275613962062	0.053101028720937145	0.05875007432954748	0.13563655824463342	0.13640958553844323	0.13563655824463342	0.13718261283225308	0.1394422310756972	0.1375988582981507	0.1409288220253315	0.1343878218469406	0.13914491288577036	0.13153356722364273	0.1333174763632039	0.12814413985847653	0.1301064399119938	0.14318844026877564	0.13367425819111614	0.13504192186477967	0.13551763096866265	0.13486353095082357	0.14170184931914134	0.13884759469584348	0.12963073080811083	0.13920437652375572	0.13789617648807753	0.13991794017958017	0.13973954926562407	0.1331390854492478	0.1315930308616281	0.13771778557412143	0.14080989474936076	0.1358744127965749	0.13979901290360944	0.13872866741987275	0.14146399476719987	0.13403104001902835	0.1316524944996135	0.13765832193613606	0.14182077659511208	0.13783671285009216	0.13212820360349647	0.1380151037640483	0.13789617648807753
"H_ro_J305_ma"	0.16293036807991912	0.16358446809775823	0.05518225605042516	0.2077064874829042	0.1368852946423262	0.14069096747339002	0.12891716715228638	0.05351727418683475	0.13504192186477967	0.054944401498483675	0.0	0.05191175596122971	0.05197121959921508	0.050841410477493014	0.0521496105131712	0.05399298329071773	0.05714455610394244	0.052506392341083424	0.05649045608610335	0.13623119462448713	0.1346256763988821	0.13706368555628234	0.13682583100434084	0.13979901290360944	0.1352203127787358	0.13700422191829695	0.1303442944639353	0.13700422191829695	0.1349824582267943	0.13545816733067728	0.13420943093298449	0.1271332580127252	0.14639947671998574	0.1379556401260629	0.13361479455313077	0.1329012308973063	0.13379318546708688	0.13932330379972646	0.13730154010822382	0.1327228399833502	0.13635012190045787	0.13623119462448713	0.13813403104001903	0.13843134922994588	0.13278230362133556	0.12921448534221325	0.1395016947136826	0.1395016947136826	0.13706368555628234	0.14003686745555094	0.13813403104001903	0.14526966759826365	0.13533924005470654	0.13319854908723316	0.1348040673128382	0.14110721293928763	0.14140453112921447	0.12998751263602307	0.13444728548492596	0.13349586727716
"H_ro_J508_ma"	0.1681037045846465	0.1663792590830707	0.056787774276030205	0.20621989653326991	0.1383718855919605	0.13872866741987275	0.13028483082594994	0.05928524707141583	0.13724207647023845	0.057382410655883925	0.05191175596122971	0.0	0.05333888327287863	0.05339834691086401	0.05470654694654219	0.058571683415591366	0.056133674258191116	0.05720401974192781	0.05750133793185467	0.1375988582981507	0.13563655824463342	0.1409288220253315	0.13664744009038474	0.14342629482071714	0.13742046738419456	0.13991794017958017	0.13492299458880894	0.13599334007254563	0.13718261283225308	0.13635012190045787	0.13664744009038474	0.13147410358565736	0.148837485877386	0.13825295831598977	0.13569602188261878	0.13426889457096985	0.13527977641672118	0.1400963310935363	0.13831242195397514	0.13527977641672118	0.13605280371053102	0.13843134922994588	0.1392638401617411	0.138609740143902	0.13284176725932093	0.13105785811975976	0.14051257655943392	0.14003686745555094	0.13807456740203367	0.1424748766129512	0.13855027650591664	0.14568591306416126	0.13325801272521853	0.13432835820895522	0.13866920378188738	0.14164238568115597	0.14610215853005887	0.13420943093298449	0.13617173098650176	0.13486353095082357
"H_ro_J774_ma"	0.16316822263186062	0.16465481358149492	0.05399298329071773	0.20699292382707973	0.1368852946423262	0.1395016947136826	0.1320092763275257	0.05660938336207409	0.13718261283225308	0.05767972884581079	0.05197121959921508	0.05333888327287863	0.0	0.05286317416899566	0.055717428792293515	0.05470654694654219	0.05524171968841054	0.05464708330855682	0.05708509246595707	0.13682583100434084	0.13593387643456026	0.13979901290360944	0.1358744127965749	0.14301004935481954	0.1368852946423262	0.13878813105785812	0.13367425819111614	0.13724207647023845	0.13771778557412143	0.13617173098650176	0.13575548552060415	0.12998751263602307	0.14865909496342986	0.13866920378188738	0.1367069037283701	0.13468514003686746	0.13450674912291133	0.1409882856633169	0.13872866741987275	0.13426889457096985	0.13742046738419456	0.13753939466016532	0.13813403104001903	0.1392638401617411	0.13266337634536482	0.1301659035499792	0.1409288220253315	0.13973954926562407	0.139085449247785	0.14039364928346315	0.13789617648807753	0.14824284949753225	0.13474460367485283	0.1349824582267943	0.13658797645239937	0.14110721293928763	0.14402093120057086	0.13093893084378902	0.1348040673128382	0.13504192186477967
"H_ro_J775_ma"	0.16287090444193375	0.16269251352797764	0.0578581197597669	0.20574418742938694	0.13385264910507225	0.13991794017958017	0.13004697627400844	0.06118808348694773	0.136528512814414	0.05773919248379616	0.050841410477493014	0.05339834691086401	0.05286317416899566	0.0	0.055539037878337395	0.05333888327287863	0.056966165189986324	0.056371528810132604	0.05773919248379616	0.1362906582624725	0.13385264910507225	0.1379556401260629	0.13581494915858952	0.1417613129571267	0.13492299458880894	0.13516084914075044	0.1312362490337159	0.13599334007254563	0.1377772492121068	0.13527977641672118	0.13581494915858952	0.1299280489980377	0.14598323125408813	0.1367069037283701	0.13177142177558424	0.13189034905155497	0.13325801272521853	0.13807456740203367	0.13724207647023845	0.13171195813759887	0.1371231491942677	0.1352203127787358	0.13664744009038474	0.1367069037283701	0.13105785811975976	0.1295118035321401	0.13956115835166796	0.13849081286793127	0.13640958553844323	0.1392638401617411	0.13747993102217992	0.14354522209668788	0.13230659451745258	0.13349586727716	0.13545816733067728	0.13962062198965333	0.143247903906761	0.13325801272521853	0.13403104001902835	0.13581494915858952
"H_ro_J796_ma"	0.16750906820479278	0.16697389546292443	0.05381459237676161	0.20824166022477256	0.13278230362133556	0.14312897663079027	0.13064161265386218	0.05440922875661533	0.14045311292144855	0.05262531961705417	0.0521496105131712	0.05470654694654219	0.055717428792293515	0.055539037878337395	0.0	0.059998810727240295	0.060058274365225664	0.051257655943390615	0.06511268359398228	0.13414996729499912	0.13516084914075044	0.13569602188261878	0.13783671285009216	0.13902598560979962	0.13730154010822382	0.14122614021525837	0.13527977641672118	0.138609740143902	0.13432835820895522	0.1331390854492478	0.13343640363917464	0.13266337634536482	0.1445561039424392	0.13361479455313077	0.13581494915858952	0.1349824582267943	0.13849081286793127	0.14104774930130226	0.1392638401617411	0.13004697627400844	0.13938276743771183	0.13843134922994588	0.14057204019741928	0.14086935838734613	0.13533924005470654	0.13236605815543795	0.13682583100434084	0.14003686745555094	0.1362906582624725	0.14104774930130226	0.14057204019741928	0.14104774930130226	0.13397157638104298	0.13028483082594994	0.1381934946780044	0.1422370220610097	0.14015579473152168	0.13432835820895522	0.13831242195397514	0.13664744009038474
"H_ro_T1842_ma"	0.16138431349229945	0.162751977165963	0.05851221977760599	0.20128441458048404	0.13153356722364273	0.13700422191829695	0.1246357852173396	0.06077183802105013	0.1318308854135696	0.05875007432954748	0.05399298329071773	0.058571683415591366	0.05470654694654219	0.05333888327287863	0.059998810727240295	0.0	0.0589284652435036	0.056312065172147235	0.058155437949693765	0.1305226853778914	0.13260391270737945	0.13456621276089673	0.13218766724148184	0.13825295831598977	0.1330796218112624	0.13296069453529166	0.12749003984063745	0.13260391270737945	0.13129571267170126	0.13355533091514538	0.13171195813759887	0.12451685794136885	0.14342629482071714	0.13367425819111614	0.1318308854135696	0.12873877623833027	0.1303442944639353	0.1353987036926919	0.13551763096866265	0.13022536718796457	0.13432835820895522	0.13361479455313077	0.13599334007254563	0.13284176725932093	0.12814413985847653	0.12671701254682763	0.13747993102217992	0.13510138550276507	0.1353987036926919	0.13575548552060415	0.13087946720580365	0.14193970387108285	0.13082000356781828	0.13058214901587678	0.13230659451745258	0.13599334007254563	0.1381934946780044	0.12772789439257895	0.13076053992983291	0.1315930308616281
"H_ro_T366_ma"	0.1629898317179045	0.1647142772194803	0.054528156032586074	0.20657667836118213	0.13409050365701375	0.13742046738419456	0.12647915799488613	0.0608313016590355	0.13450674912291133	0.05845275613962062	0.05714455610394244	0.056133674258191116	0.05524171968841054	0.056966165189986324	0.060058274365225664	0.0589284652435036	0.0	0.05458761967057144	0.053101028720937145	0.1343878218469406	0.13135517630968663	0.13664744009038474	0.13426889457096985	0.14021525836950705	0.1364690491764286	0.1377772492121068	0.12838199441041803	0.1358744127965749	0.1358744127965749	0.13516084914075044	0.13557709460664805	0.12743057620265208	0.14598323125408813	0.13516084914075044	0.1327228399833502	0.13403104001902835	0.13385264910507225	0.13843134922994588	0.13676636736635547	0.13218766724148184	0.1373610037462092	0.13474460367485283	0.13843134922994588	0.13623119462448713	0.13022536718796457	0.12998751263602307	0.1413450674912291	0.13884759469584348	0.13593387643456026	0.14045311292144855	0.1371231491942677	0.14366414937265862	0.13206873996551108	0.13242552179342332	0.13474460367485283	0.13783671285009216	0.14289112207884877	0.1301659035499792	0.13248498543140869	0.13557709460664805
"H_ro_T385_ma"	0.16310875899387525	0.1649521317714218	0.048581792234048876	0.20633882380924065	0.1309983944817744	0.1394422310756972	0.12790628530653506	0.05131711958137599	0.13284176725932093	0.053101028720937145	0.052506392341083424	0.05720401974192781	0.05464708330855682	0.056371528810132604	0.051257655943390615	0.056312065172147235	0.05458761967057144	0.0	0.05333888327287863	0.13236605815543795	0.13420943093298449	0.13426889457096985	0.13605280371053102	0.13831242195397514	0.13492299458880894	0.1367069037283701	0.13194981268954034	0.1364690491764286	0.12873877623833027	0.1315930308616281	0.1284414580484034	0.12517095795920793	0.14241541297496582	0.13337694000118927	0.13260391270737945	0.1327228399833502	0.13206873996551108	0.1379556401260629	0.14033418564547778	0.1280252125825058	0.13890705833382885	0.13771778557412143	0.13902598560979962	0.13991794017958017	0.1330796218112624	0.1297496580840816	0.13516084914075044	0.138609740143902	0.13581494915858952	0.13973954926562407	0.13843134922994588	0.14057204019741928	0.13468514003686746	0.12790628530653506	0.13545816733067728	0.14080989474936076	0.1361122673485164	0.12778735803056432	0.13510138550276507	0.136528512814414
"H_ro_T471_ma"	0.16400071356365584	0.1648926681334364	0.055539037878337395	0.20960932389843612	0.13700422191829695	0.14152345840518524	0.13260391270737945	0.06267467443658203	0.13635012190045787	0.05875007432954748	0.05649045608610335	0.05750133793185467	0.05708509246595707	0.05773919248379616	0.06511268359398228	0.058155437949693765	0.053101028720937145	0.05333888327287863	0.0	0.139085449247785	0.13355533091514538	0.1413450674912291	0.13599334007254563	0.14277219480287803	0.13866920378188738	0.1417613129571267	0.1327228399833502	0.1379556401260629	0.13664744009038474	0.13771778557412143	0.13349586727716	0.12927394898019862	0.14949158589522507	0.13914491288577036	0.13563655824463342	0.1329012308973063	0.13284176725932093	0.13991794017958017	0.14015579473152168	0.13403104001902835	0.13979901290360944	0.1396800856276387	0.139085449247785	0.13890705833382885	0.1331390854492478	0.1312362490337159	0.1422370220610097	0.141166676577273	0.14051257655943392	0.1396800856276387	0.13896652197181422	0.14705357673782482	0.13557709460664805	0.13747993102217992	0.13706368555628234	0.1415829220431706	0.14378307664862935	0.13046322173990604	0.13551763096866265	0.1380151037640483
