spec,Lat,Long
Galbula,-15.338,-56.1511
Galbula,-14.9733,-59.5476
Galbula,-14.6276,-56.2753
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5407,-56.6315
Galbula,-13.5259,-56.6327
Galbula,-13.4294,-56.7133
Galbula,-13.1413,-56.7566
Galbula,-13.1413,-56.7566
Galbula,-11.8657,-55.6597
Galbula,-11.8371,-55.4992
Galbula,-11.8371,-55.4992
Galbula,-11.8371,-55.4992
Galbula,-11.8371,-55.4992
Galbula,-11.7968,-55.6356
Galbula,-11.7925,-64.2536
Galbula,-11.7733,-55.6218
Galbula,-11.765,-55.4282
Galbula,-11.765,-55.4282
Galbula,-11.7522,-55.639
Galbula,-11.7522,-55.6389
Galbula,-11.666667,-61.233333
Galbula,-11.4517,-58.3278
Galbula,-11.3833,-64.8333
Galbula,-11.1923,-56.5817
Galbula,-11.1923,-56.5817
Galbula,-10.884,-73.163
Galbula,-10.884,-73.163
Galbula,-10.884,-73.163
Galbula,-10.8591,-65.2794
Galbula,-10.7172,-63.4506
Galbula,-10.4131,-73.6781
Galbula,-10.4131,-73.6781
Galbula,-10.1881,-73.7013
Galbula,-10.1453,-56.2317
Galbula,-10.0604,-54.2894
Galbula,-9.99843,-68.2051
Galbula,-9.97122,-56.4256
Galbula,-9.97072,-54.3175
Galbula,-9.953,-65.35
Galbula,-9.9263,-56.3088
Galbula,-9.9263,-56.3088
Galbula,-9.9263,-56.3088
Galbula,-9.87788,-56.0866
Galbula,-9.87788,-56.0866
Galbula,-9.87788,-56.0866
Galbula,-9.867,-65.7
Galbula,-9.86543,-58.2259
Galbula,-9.86543,-58.2259
Galbula,-9.85289,-58.3051
Galbula,-9.84857,-56.1192
Galbula,-9.84458,-58.2299
Galbula,-9.84458,-58.2299
Galbula,-9.84448,-56.1156
Galbula,-9.83939,-56.124
Galbula,-9.81802,-58.2888
Galbula,-9.80855,-56.3285
Galbula,-9.79127,-56.3285
Galbula,-9.79127,-56.3285
Galbula,-9.79127,-56.3285
Galbula,-9.78438,-55.742
Galbula,-9.78438,-55.742
Galbula,-9.77692,-54.3522
Galbula,-9.77681,-54.3521
Galbula,-9.76189,-54.3304
Galbula,-9.76185,-54.3303
Galbula,-9.733056,-56.782222
Galbula,-9.73255,-50.3253
Galbula,-9.72981,-61.8874
Galbula,-9.72981,-61.8874
Galbula,-9.68001,-50.2918
Galbula,-9.68001,-50.2918
Galbula,-9.68001,-50.2918
Galbula,-9.68001,-50.2918
Galbula,-9.67558,-56.4837
Galbula,-9.67558,-56.4837
Galbula,-9.64222,-65.4456
Galbula,-9.64103,-55.9383
Galbula,-9.64103,-55.9383
Galbula,-9.64103,-55.9316
Galbula,-9.64066,-55.9316
Galbula,-9.64066,-55.9316
Galbula,-9.64066,-55.9316
Galbula,-9.64066,-55.9316
Galbula,-9.64066,-55.9316
Galbula,-9.64066,-55.9316
Galbula,-9.64066,-55.9316
Galbula,-9.63879,-55.9265
Galbula,-9.63879,-55.9265
Galbula,-9.63661,-55.9409
Galbula,-9.63441,-55.9279
Galbula,-9.63322,-55.9393
Galbula,-9.63322,-55.9393
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.6278,-56.146
Galbula,-9.62523,-65.4466
Galbula,-9.62523,-65.4466
Galbula,-9.62523,-65.4466
Galbula,-9.61884,-65.1075
Galbula,-9.61459,-55.9322
Galbula,-9.61251,-55.9344
Galbula,-9.61104,-65.0449
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61079,-55.9372
Galbula,-9.61022,-56.1987
Galbula,-9.61022,-56.1987
Galbula,-9.60507,-55.93
Galbula,-9.60507,-55.93
Galbula,-9.60507,-55.93
Galbula,-9.60507,-55.93
Galbula,-9.60355,-55.9324
Galbula,-9.60272,-55.9291
Galbula,-9.60272,-55.9291
Galbula,-9.60272,-55.9291
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60181,-55.9357
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60079,-55.9228
Galbula,-9.60021,-55.9304
Galbula,-9.59942,-65.3693
Galbula,-9.59893,-55.9322
Galbula,-9.5988,-55.9337
Galbula,-9.5988,-55.9337
Galbula,-9.5988,-55.9337
Galbula,-9.59879,-55.9322
Galbula,-9.59879,-55.9322
Galbula,-9.59879,-55.9322
Galbula,-9.59879,-55.9322
Galbula,-9.59879,-55.9322
Galbula,-9.59879,-55.9322
Galbula,-9.59879,-55.9322
Galbula,-9.59871,-55.9367
Galbula,-9.59871,-55.9367
Galbula,-9.59871,-55.9367
Galbula,-9.59871,-55.9367
Galbula,-9.59871,-55.9367
Galbula,-9.59871,-55.9367
Galbula,-9.59871,-55.9367
Galbula,-9.59825,-55.9318
Galbula,-9.59825,-55.9318
Galbula,-9.5981,-55.932
Galbula,-9.5981,-55.932
Galbula,-9.5981,-55.932
Galbula,-9.5981,-55.932
Galbula,-9.5981,-55.932
Galbula,-9.5981,-55.932
Galbula,-9.5981,-55.932
Galbula,-9.5981,-55.932
Galbula,-9.5977,-55.9321
Galbula,-9.59769,-55.9312
Galbula,-9.59761,-55.9321
Galbula,-9.59756,-55.9314
Galbula,-9.59756,-55.9314
Galbula,-9.59756,-55.9315
Galbula,-9.59755,-55.9314
Galbula,-9.59755,-55.9314
Galbula,-9.59755,-55.9314
Galbula,-9.59755,-55.9314
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59753,-55.9315
Galbula,-9.59752,-55.9314
Galbula,-9.597507,-55.931335
Galbula,-9.5975,-55.9325
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59726,-55.9311
Galbula,-9.59712,-55.9323
Galbula,-9.59685,-55.9311
Galbula,-9.59671,-55.932
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59548,-55.9326
Galbula,-9.59482,-55.9303
Galbula,-9.59075,-55.9224
Galbula,-9.59075,-55.9224
Galbula,-9.5893,-55.9281
Galbula,-9.5893,-55.9281
Galbula,-9.5888,-55.9246
Galbula,-9.5888,-55.9246
Galbula,-9.58645,-55.9179
Galbula,-9.58638,-55.9299
Galbula,-9.58616,-55.9297
Galbula,-9.58616,-55.9297
Galbula,-9.58565,-55.9198
Galbula,-9.58565,-55.9198
Galbula,-9.58565,-55.9198
Galbula,-9.58161,-55.9231
Galbula,-9.58161,-55.9231
Galbula,-9.58161,-55.9231
Galbula,-9.58161,-55.9231
Galbula,-9.58161,-55.9231
Galbula,-9.57328,-55.9215
Galbula,-9.57328,-55.9215
Galbula,-9.57328,-55.9215
Galbula,-9.57328,-55.9215
Galbula,-9.57328,-55.9215
Galbula,-9.57328,-55.9215
Galbula,-9.57328,-55.9215
Galbula,-9.56726,-55.9143
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.56669,-55.9139
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55855,-55.913
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.55556,-55.908
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.54634,-55.9086
Galbula,-9.546056,-55.908944
Galbula,-9.546056,-55.908944
Galbula,-9.54102,-55.9927
Galbula,-9.54102,-55.9927
Galbula,-9.539473,-55.887194
Galbula,-9.49241,-56.3599
Galbula,-9.45022,-55.898
Galbula,-9.45022,-55.898
Galbula,-9.45022,-55.898
Galbula,-9.45022,-55.898
Galbula,-9.45022,-55.898
Galbula,-9.45022,-55.898
Galbula,-9.45,-55.9
Galbula,-9.45,-55.9
Galbula,-9.42662,-64.3021
Galbula,-9.41389,-64.9422
Galbula,-9.3946,-64.3445
Galbula,-9.35761,-69.9265
Galbula,-9.35761,-69.9265
Galbula,-9.35761,-69.9265
Galbula,-9.35761,-69.9265
Galbula,-9.35761,-69.9265
Galbula,-9.29145,-64.514
Galbula,-9.29145,-64.514
Galbula,-9.26931,-56.8015
Galbula,-9.25833,-56.0083
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.24665,-55.988
Galbula,-9.1799,-60.6335
Galbula,-9.13016,-68.9525
Galbula,-9.09443,-56.5329
Galbula,-9.08441,-64.0478
Galbula,-9.05583,-56.581
Galbula,-9.05418,-56.5863
Galbula,-9.05418,-56.5863
Galbula,-9.05418,-56.5863
Galbula,-9.05418,-56.5863
Galbula,-8.9828,-62.5856
Galbula,-8.9828,-62.5856
Galbula,-8.9828,-62.5856
Galbula,-8.97171,-63.866179
Galbula,-8.971667,-63.866111
Galbula,-8.971667,-63.866111
Galbula,-8.971667,-63.866111
Galbula,-8.971667,-63.866111
Galbula,-8.95295,-61.926
Galbula,-8.95295,-61.926
Galbula,-8.95295,-61.926
Galbula,-8.94625,-63.8679
Galbula,-8.94625,-63.8679
Galbula,-8.94625,-63.8679
Galbula,-8.93883,-62.0934
Galbula,-8.93883,-62.0934
Galbula,-8.93883,-62.0934
Galbula,-8.9343,-62.056
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.92136,-62.0818
Galbula,-8.919,-62.11
Galbula,-8.919,-62.11
Galbula,-8.89556,-61.5803
Galbula,-8.89556,-61.5803
Galbula,-8.89556,-61.5803
Galbula,-8.89556,-61.5803
Galbula,-8.89556,-61.5803
Galbula,-8.89556,-61.5803
Galbula,-8.89556,-61.5803
Galbula,-8.89556,-61.5803
Galbula,-8.85543,-62.1786
Galbula,-8.85543,-62.1786
Galbula,-8.81172,-63.8376
Galbula,-8.7602,-62.2513
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.68499,-74.2499
Galbula,-8.4945,-60.962
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
Galbula,-8.49421,-60.9622
