"","pop 1","pop 2","pop 3","pop 4","pop 5","pop 6","pop 7","pop 8"
"1",0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0
"11",0.8,0.363636363636364,0.4,0,0,0,0.181818181818182,0
"12",1.2,1.30909090909091,1.2,0.909090909090909,0.5,0.733333333333333,1.09090909090909,0.933333333333333
"13",1.6,1.27272727272727,1.8,2.4,1.16666666666667,1.44444444444444,1.27272727272727,2.33333333333333
"14",1.2,0.327272727272727,1,1.49090909090909,0.666666666666667,0.711111111111111,0.363636363636364,1.4
"15",0,0,0,0,0,0.466666666666667,0.327272727272727,0.666666666666667
"16",0,0,0,0,0,0.466666666666667,0.327272727272727,0.666666666666667
"17",0.4,0.181818181818182,0.4,0,0,0,0,0
"18",0.4,0.181818181818182,0.4,0,0,0,0,0
"19",0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0
"24",0,0.181818181818182,0.4,0,0,0.2,0.181818181818182,0
"25",0,0.181818181818182,0.4,0,0,0.2,0.181818181818182,0
"26",0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0
"33",0,0.181818181818182,0,0,0,0.2,0,0
"34",0,0.181818181818182,0,0,0,0.4,0,0
"35",0.4,0,0,0,0,0.2,0.181818181818182,0
"36",0.4,0.327272727272727,0.8,0.181818181818182,0,0.4,0.363636363636364,0
"37",0.4,0.327272727272727,0.8,0.909090909090909,0.5,1,0.363636363636364,0.333333333333333
"38",1.4,0.181818181818182,0.8,1.05454545454545,1,2.15555555555556,1.78181818181818,1.73333333333333
"39",1.4,0.509090909090909,2,1.27272727272727,1.16666666666667,2.46666666666667,1.78181818181818,2.33333333333333
"40",0.4,0.327272727272727,1.2,0.945454545454545,0.666666666666667,0.911111111111111,0.181818181818182,0.933333333333333
"41",0.4,0.327272727272727,0.4,0.509090909090909,0,0,0,0
"42",0.4,0.327272727272727,0.4,0.509090909090909,0,0,0,0
"43",0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0
"47",0,0.181818181818182,0,0.181818181818182,0,0,0.690909090909091,0.533333333333333
"48",0,0.363636363636364,0,0.363636363636364,0.5,0,0.690909090909091,0.533333333333333
"49",0,0.181818181818182,0,0.181818181818182,0.5,0,0,0
"50",0,0,0,0,0,0,0,0
"51",0,1.12727272727273,0.6,0.327272727272727,0,0.555555555555556,0,0.333333333333333
"52",0,1.12727272727273,0.6,0.327272727272727,0,0.555555555555556,0,0.333333333333333
"53",0,0.181818181818182,0.4,0.618181818181818,0.5,0.2,0.181818181818182,0
"54",0,0.181818181818182,0.4,0.618181818181818,0.5,0.2,0.181818181818182,0
"55",0,0,0.4,0.181818181818182,0,0.4,0,0.333333333333333
"56",0,0,0.4,0.181818181818182,0,0.4,0,0.333333333333333
"57",0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0
"61",0.4,0.654545454545455,0.4,0.327272727272727,0,0.755555555555556,0.436363636363636,0.333333333333333
"62",0.4,0.654545454545455,0.4,0.509090909090909,0.5,0.955555555555556,0.436363636363636,0.333333333333333
"63",0,0,0,0.181818181818182,0.5,0.2,0,0
"64",0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0
"67",0.4,0.436363636363636,0,0,0,0.555555555555556,0.327272727272727,0.666666666666667
"68",0.4,0.763636363636364,0,0,0,0.555555555555556,0.327272727272727,1
"69",0.4,1.23636363636364,0.4,0.872727272727273,0,0.733333333333333,0.327272727272727,0.333333333333333
"70",0.4,0.909090909090909,0.4,0.872727272727273,0,0.733333333333333,0.327272727272727,0
"71",0,0,0,0,0,0,0,0
"72",0,0.181818181818182,0,0.181818181818182,0,0,0.181818181818182,0
"73",0,0.181818181818182,0,0.181818181818182,0,0,0.181818181818182,0
"74",0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0
"78",0,0.363636363636364,2,0.181818181818182,1.33333333333333,0.4,0,0
"79",0,0.363636363636364,2,0.181818181818182,1.33333333333333,0.4,0,0
"80",0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0
"84",0,0.327272727272727,0,0.181818181818182,0.5,0.2,0.181818181818182,0
"85",0,0.327272727272727,0,0.181818181818182,0.5,0.2,0.181818181818182,0
"86",0.4,0.509090909090909,1.2,0.363636363636364,0.5,0.4,0.509090909090909,1
"87",0.4,0.690909090909091,1.6,0.363636363636364,0.5,0.6,0.945454545454545,1
"88",0,0.181818181818182,0.4,0,0,0.2,0.436363636363636,0
"89",0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0
"91",0,0.327272727272727,0,0.181818181818182,0,0,0,0.866666666666667
"92",0,0.327272727272727,0,0.181818181818182,0,0,0,0.866666666666667
"93",0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0.181818181818182,0.333333333333333
"106",0,0,0,0,0,0,0.181818181818182,0.333333333333333
"107",0,0.363636363636364,0.4,0.181818181818182,0.5,0.4,0.436363636363636,0.333333333333333
"108",0,0.363636363636364,0.4,0.181818181818182,0.5,0.4,0.436363636363636,0.333333333333333
"109",0,0,0,0,0,0.2,0.181818181818182,0
"110",0,0,0,0,0,0.2,0.181818181818182,0
"111",0,0,0,0,0,0,0,0
"112",0,0.181818181818182,0,0.327272727272727,0,0,0,0
"113",0,0.181818181818182,0,0.327272727272727,0,0,0,0
"114",0,0.181818181818182,0,0.181818181818182,0,0,0,0.333333333333333
"115",0,0.181818181818182,0,0.181818181818182,0,0,0,0.333333333333333
"116",0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0
"127",0,0,0,0.181818181818182,0,0,0,0
"128",0,0,0,0.181818181818182,0,0,0,0
"129",0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0,0
"131",0,0.181818181818182,0,0.363636363636364,0,0,0.181818181818182,0
"132",0,0.181818181818182,0,0.363636363636364,0,0,0.181818181818182,0
"133",0.8,0.690909090909091,0.4,0,0,0,0,0
"134",0.8,0.690909090909091,0.4,0,0,0,0,0
"135",0.4,0.545454545454545,0,0,0,0,0,0
"136",0.4,0.545454545454545,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0.2,0,0.333333333333333
"139",0,0,0,0,0,0.2,0,0.333333333333333
"140",0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0
"142",0,0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0.333333333333333
"144",1.2,0.509090909090909,0.4,0.363636363636364,0,0.2,0.909090909090909,0.666666666666667
"145",1.2,0.509090909090909,0.4,0.363636363636364,0,0.2,0.909090909090909,0.333333333333333
"146",0,0,0,0,0,0,0,0
"147",0,0,0,0,0,0,0,0
"148",0,0,0,0.181818181818182,0,0.6,0.545454545454546,0
"149",0,0.690909090909091,0,0.181818181818182,0,1,0.545454545454546,1
"150",0,0.690909090909091,0,0,0,0.4,0.363636363636364,2.06666666666667
"151",0,0.690909090909091,0,0.327272727272727,0,0,0.363636363636364,1.06666666666667
"152",0,0.690909090909091,0,0.327272727272727,0,0,0,0
"153",0,0,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0
"156",0,0.509090909090909,0,0.509090909090909,0,0,0.181818181818182,0
"157",0,0.509090909090909,0,0.509090909090909,0,0.2,0.181818181818182,0
"158",0,0,0,0,0,0.2,0,0
"159",0.4,0.181818181818182,1.2,0.618181818181818,0.5,0,0.690909090909091,1.2
"160",0.8,0.363636363636364,2.2,1.30909090909091,0.5,0,1.05454545454545,1.86666666666667
"161",0.4,0.363636363636364,1.4,1.01818181818182,0.5,0.2,0.545454545454546,0.666666666666667
"162",0,0.181818181818182,0.4,0.327272727272727,0.5,0.2,0.181818181818182,0
"163",0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0
"165",1.8,1.34545454545455,1.2,0.509090909090909,0.5,0.955555555555556,0.727272727272727,1.6
"166",1.8,1.34545454545455,1.2,0.509090909090909,0.5,0.955555555555556,0.909090909090909,1.93333333333333
"167",0,0,0,0,0,0,0.181818181818182,0.333333333333333
"168",0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0
"172",0,0,0,0,0,0,0,0
"173",0,0.181818181818182,0,0,0,0,0,0.333333333333333
"174",0,0.181818181818182,0,0,0,0,0,0.333333333333333
"175",0,0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,0
"180",0,0.727272727272727,0.8,0,0,0,0,0
"181",0,0.727272727272727,0.8,0,0,0,0,0
"182",0,0,0,0,0,0,0,0
"183",0,0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0,0
"185",0.6,0.327272727272727,0,0,0,0,0,0
"186",0.6,0.327272727272727,0,0,0,0,0,0
"187",0.4,1.23636363636364,1.2,0.181818181818182,0,0.6,0.509090909090909,0.933333333333333
"188",0.4,1.23636363636364,1.2,0.181818181818182,0,0.6,0.509090909090909,0.933333333333333
"189",0.4,0.181818181818182,0.4,0.509090909090909,0,0,0.181818181818182,0.333333333333333
"190",0.4,0.181818181818182,0.4,0.509090909090909,0,0,0.181818181818182,0.333333333333333
"191",0,0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0
"196",2.2,1.41818181818182,1,0.690909090909091,2,1.33333333333333,0.181818181818182,0
"197",2.2,1.41818181818182,1,0.690909090909091,2,1.33333333333333,0.181818181818182,0
"198",0.4,0,0.8,0.363636363636364,2.33333333333333,0.2,0,1.06666666666667
"199",0.4,0,0.8,0.363636363636364,2.33333333333333,0.2,0,1.06666666666667
"200",0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0.181818181818182,0.333333333333333
"203",1.4,0.181818181818182,0.8,0.545454545454546,0,0.4,0.727272727272727,1.46666666666667
"204",1.4,0.181818181818182,0.8,0.545454545454546,0,0.4,0.545454545454546,1.13333333333333
"205",0,0,0,0,0,0,0,0
"206",0,0.363636363636364,0,0.363636363636364,0,0,0.181818181818182,0.333333333333333
"207",1,1.27272727272727,0.8,1.16363636363636,1,0.2,0.727272727272727,0.333333333333333
"208",1,0.909090909090909,0.8,0.8,1,0.2,0.545454545454546,0
"209",0,0,0,0,0,0,0,0
"210",0,0,0.6,0.436363636363636,0,0.2,0.181818181818182,0
"211",0,0,0.6,0.436363636363636,0,0.2,0.181818181818182,0
"212",0,0,0,0,0,0,0,0
"213",0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,0
"215",0,0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0
"218",0,0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0,0
"223",0.4,0.181818181818182,0.8,0.327272727272727,0.5,0,0.181818181818182,0.666666666666667
"224",0.4,0.181818181818182,0.8,0.327272727272727,0.5,0,0.181818181818182,0.666666666666667
"225",0,0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0,0
"227",0.4,0.8,0.4,0.327272727272727,0.5,0.2,0.181818181818182,0
"228",0.4,0.8,0.4,0.327272727272727,0.5,0.2,0.181818181818182,0
"229",0,0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0,0
"232",0,0,0.4,0.836363636363636,0,0.2,0.363636363636364,0
"233",0,0,0.4,1.34545454545455,0,0.4,0.872727272727273,0
"234",0,0,0,0.509090909090909,0,0.2,0.509090909090909,0
"235",0,0,0,0,0,0,0,0
"236",0,0,0,0,0,0,0,0
"237",0.6,0.727272727272727,0,0.181818181818182,0,0.2,0,0
"238",0.6,0.727272727272727,0,0.181818181818182,0,0.2,0,0
"239",0,0,0,0,0,0,0,0
"240",0.4,0,0,0.181818181818182,0,0,0.363636363636364,0.933333333333333
"241",2.4,1.05454545454545,1,1.12727272727273,1.66666666666667,0.733333333333333,1.41818181818182,2.06666666666667
"242",2,1.05454545454545,1,0.945454545454545,1.66666666666667,0.733333333333333,1.05454545454545,1.13333333333333
"243",0,0,0,0,0,0,0,0
"244",0,0,0,0,0,0,0,0
"245",0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0,0
"247",0,0.181818181818182,0.6,0.872727272727273,0,0.666666666666667,0,0
"248",0,0.181818181818182,0.6,0.872727272727273,0,0.666666666666667,0,0
"249",0,0,0,0,0,0,0,0
"250",0,0.327272727272727,0.8,0,0,0.2,0.181818181818182,0.866666666666667
"251",0,0.327272727272727,0.8,0,0,0.2,0.181818181818182,0.866666666666667
"252",0.4,0,1,0.690909090909091,1.16666666666667,0.2,0.363636363636364,0.866666666666667
"253",0.4,0,1,0.690909090909091,1.16666666666667,0.2,0.363636363636364,0.866666666666667
"254",0,0,0,0,0,0,0,0
"255",0,0,0,0,0,0,0,0
"256",0,0,0,0,0,0,0,0
"257",0,0,0,0,0,0,0,0
"258",0,0.836363636363636,0.8,0.727272727272727,0,0.555555555555556,0.727272727272727,0.333333333333333
"259",0,0.836363636363636,0.8,0.727272727272727,0,0.555555555555556,0.727272727272727,0.333333333333333
